한글 이름,영문 이름,제품 설명,제품 영양 정보,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
말차 폭포 유자 블렌디드,Malcha Waterfall Yuja Blended,쏟아지는 폭포를 표현한 말차와 상큼한 유자 캐모마일 티가 만나 시원한 평화를 선사하는 송당만의 과일 티 블렌디드 음료,Tall(톨) /355ml,150,0,1,0.2,0,5,32,65,0,22
망고 바나나 블렌디드,Mango Banana Blended,(Grande Only) 달콤한 망고 패션 프루트 주스에바나나 1개가 통째로 들어간 신선한 블렌디드,Grande(그란데) /473ml,290,0.9,4,2.7,0,130,45,0,5,58
자몽 허니 레몬 블렌디드,Grapefruit Honey Lemon Blended,달콤한 자몽 허니에 레몬의 산뜻함을 더해 달콤상큼함으로 가볍게 즐기기 좋은 과일 블렌디드,Tall(톨) /355ml,190,0,0,0,0,5,40,0,0,47
피치 망고 블렌디드,Peach Mango Blended,"오직 강릉주문진점에서만 다시 만날 수 있는 특화 음료로,달콤한 피치,망고에 새콤한 패션 탱고 티를 더한 매력적인 음료*G Only",Grande(그란데) /473ml,225,0,1,0.5,0,100,32,0,0,54
딸기 아사이 레모네이드 스타벅스 리프레셔,Strawberry Acai with Lemonade Starbucks Refreshers™,"딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료",Tall(톨) /355ml,105,0,1,0.1,0,0,24,30,0,25
딸기 아사이 레모네이드 스타벅스 리프레셔,Strawberry Acai with Lemonade Starbucks Refreshers™,"딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료.",Trenta(트렌타) /887ml,265,0,1,0.1,0,0,62,73,0,64
골든 만다린 홉 피지오,Golden Mandarin Hop Fizzio,부드럽게 느껴지는 티폼과 시트러스한 감귤 풍미맥주 느낌의 청량하게 즐기는 상큼한 피지오 음료,,120,0,0,0.1,0,5,27,16,0,30
라이트 핑크 자몽 피지오,Light Pink Grapefruit Fizzio,"달콤 쌉싸름한 자몽에 탄산의 청량감을 가득 담은 피지오로,2018년 대비 칼로리를 60% 낮춰 돌아왔습니다.*G사이즈 기준 99kcal 이하*18년 대비 칼로리 60% DOWN",Tall(톨) /355ml,70,0,0,0.1,0,0,17,0,0,38
리버 피치 피지오,River Peach Fizzio,길고 깊은 강의 모습과 달콤한 복숭아가 만나 강의 뷰를 즐기며 힐링할 수 있는 상큼한 피지오,Grande(그란데) /473ml,155,0,0,0,0,45,22,0,0,38
여수 바다 자몽 피지오,Yeosu Sea Grapefruit Fizzio,여수 돌산대교의 밤바다 풍경을 형상화한 음료로알록달록 색상 조명의 토핑과 함께여수의 풍경을 바라보며 즐길 수 있는 트로피컬 맛의 음료,Grande(그란데) /473ml,250,0,1,0.8,0,105,45,0,0,60
의암호의 초록빛 자몽 피지오,Uiamho's Green Grapefruit Fizzio,"춘천의암호 낮의 싱그러운 초록빛을 형상화한 음료로 청자몽과 라임, 레몬젤리를 활용한 피지오 음료",,130,0,0,0,0,45,28,0,0,33
제주팔삭 셔벗 피지오,Jeju Hassaku Orange Frozen Fizzio,제주송당의 소원나무에 걸린 제주 동백꽃을 형상화한 음료제주의 자몽이라는 별명을 가진 제주 팔삭과 제주 한라봉으로매장에서 직접 만든 셔벗과 함께 상큼하게 즐길 수 있는 피지오 음료,Tall(톨) /355ml,165,0,0,0,0,5,38,0,0,42
제주팔삭 피지오,Jeju Hassaku Orange Fizzio,제주의 자몽이라는 별명을 가진 팔삭과 제주 한라봉으로상큼하고 가볍게 즐길 수 있는 피지오 음료,Tall(톨) /355ml,150,0,0,0,0,5,34,0,0,38
체리&자두 에너지 피지오,Cherry&Plum Energy Fizzio,체리와 자두의 이색 조합으로 그란데 사이즈 99kcal와 타우린과 비타민C 등이 영양소가 함유되어 건강한 에너지를 시원하게 즐길 수 있는 카페인 프리 음료. (필요 시 무료로 블랙 티 커스텀을 통해 카페인도 추가할 수 있습니다),Tall(톨) /355ml,76,0,0,0,0,0,18,0,0,35
쿨 라임 피지오,Cool Lime Starbucks Fizzio™,그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),Tall(톨) /355ml,105,0,0,0,0,20,25,110,0,28
피치 딸기 피지오,Peach Strawberry Starbucks Fizzio,피치와 딸기의 상큼한 과일과 청량한 탄산의 조화로 리프레시 할 수 있는 음료,Tall(톨) /355ml,145,0,0,0,0,20,26,37,0,35
아이스 클래식 뱅쇼 히비스커스 티,Iced Classic Vin Chaud Hibiscus Tea,크리스마스 무드를 즐기기 가장 좋은 음료진한 레드 와인 베이스에 뱅쇼와 가장 잘 어울리는 과일을 더한 클래식한 뱅쇼뱅쇼 베이스에 과일을 절여 과일에서도 뱅쇼 풍미를 풍부하게 느끼실 수 있습니다.카페인 프리로 언제든 부담 없이 즐기기 좋은 티 음료,Tall(톨) /355ml,150,0,0,0.1,0,10,31,0,0,38
아이스 핑크 팝 캐모마일 릴렉서,Iced Pink Pop Chamomile Relaxer,"크리스마스에 어울리는 샴페인 한잔과 같은 캐모마일 릴렉서!리치, 레몬그라스, 캐모마일의 차분하면서도 새콤달콤한 조합크리스마스 오너먼트가 떠오르는핑크 리치 보바로 팝! 터지는 식감의 재미와 리치 풍미를 더했습니다",Tall(톨) /355ml,140,0,0,0,0,10,25,1,0,35
